strategy,num_features,accuracy,roc_auc,log_loss,acc_change
All features (baseline),204,0.5943089430894309,0.6359406448662488,0.661067706501526,0.0
Drop bottom 10%,184,0.5943089430894309,0.6358316339146365,0.6611106600821208,0.0
Drop bottom 20%,164,0.5943089430894309,0.6359619152958318,0.6610804689396371,0.0
Drop bottom 30%,143,0.5959349593495935,0.6391019624630094,0.659330628278607,0.1626016260162566
Drop bottom 40%,123,0.5951219512195122,0.6390806920334264,0.6593239759592655,0.08130081300812275
Drop bottom 50%,102,0.5959349593495935,0.6390434687816564,0.6593257677613332,0.1626016260162566
Top 50 only,50,0.6024390243902439,0.6339292598688145,0.6635649086600695,0.8130081300812941
Top 75 only,75,0.5975609756097561,0.6389211638115546,0.6593844353233542,0.3252032520325132
Top 100 only,100,0.5959349593495935,0.6389530694559291,0.6593415476936819,0.1626016260162566
Top 150 only,150,0.5975609756097561,0.6390089043335841,0.6594105282630014,0.3252032520325132
