teamId,triCode,fullName,commonName,placeName,divisionId,conferenceId,firstSeasonId,officialSiteUrl
1,NJD,New Jersey Devils,Devils,New Jersey,18,,1982-06-11,http://www.newjerseydevils.com/
2,NYI,New York Islanders,Islanders,New York,18,,1972-06-06,http://www.newyorkislanders.com/
3,NYR,New York Rangers,Rangers,New York,18,,1926-05-15,http://www.newyorkrangers.com/
4,PHI,Philadelphia Flyers,Flyers,Philadelphia,18,,1967-06-05,http://www.philadelphiaflyers.com/
5,PIT,Pittsburgh Penguins,Penguins,Pittsburgh,18,,1967-06-05,http://pittsburghpenguins.com/
6,BOS,Boston Bruins,Bruins,Boston,17,,1924-11-01,http://www.bostonbruins.com/
7,BUF,Buffalo Sabres,Sabres,Buffalo,17,,1970-05-22,http://www.sabres.com/
8,MTL,Montréal Canadiens,Canadiens,Montréal,17,,1909-04-12,http://www.canadiens.com/
9,OTT,Ottawa Senators,Senators,Ottawa,17,,1990-12-12,http://www.ottawasenators.com/
10,TOR,Toronto Maple Leafs,Maple Leafs,Toronto,17,,1917-11-22,http://www.mapleleafs.com/
12,CAR,Carolina Hurricanes,Hurricanes,Carolina,18,,1979-06-22,http://www.carolinahurricanes.com/
13,FLA,Florida Panthers,Panthers,Florida,17,,1993-06-14,http://www.floridapanthers.com/
14,TBL,Tampa Bay Lightning,Lightning,Tampa Bay,17,,1991-12-16,http://www.tampabaylightning.com/
15,WSH,Washington Capitals,Capitals,Washington,18,,1974-06-11,http://www.washingtoncapitals.com/
16,CHI,Chicago Blackhawks,Blackhawks,Chicago,16,,1926-09-25,http://www.chicagoblackhawks.com/
17,DET,Detroit Red Wings,Red Wings,Detroit,17,,1926-09-25,http://www.detroitredwings.com/
18,NSH,Nashville Predators,Predators,Nashville,16,,1997-06-25,http://www.nashvillepredators.com/
19,STL,St. Louis Blues,Blues,St. Louis,16,,1967-06-05,http://www.stlouisblues.com/
20,CGY,Calgary Flames,Flames,Calgary,15,,1980-06-24,http://www.calgaryflames.com/
21,COL,Colorado Avalanche,Avalanche,Colorado,16,,1979-06-22,http://www.coloradoavalanche.com/
22,EDM,Edmonton Oilers,Oilers,Edmonton,15,,1979-06-22,http://www.edmontonoilers.com/
23,VAN,Vancouver Canucks,Canucks,Vancouver,15,,1970-05-22,http://www.canucks.com/
24,ANA,Anaheim Ducks,Ducks,Anaheim,15,,1993-06-15,http://www.anaheimducks.com/
25,DAL,Dallas Stars,Stars,Dallas,16,,1967-06-05,http://www.dallasstars.com/
26,LAK,Los Angeles Kings,Kings,Los Angeles,15,,1967-06-05,http://www.lakings.com/
28,SJS,San Jose Sharks,Sharks,San Jose,15,,1990-05-09,http://www.sjsharks.com/
29,CBJ,Columbus Blue Jackets,Blue Jackets,Columbus,18,,1997-06-25,http://www.bluejackets.com/
30,MIN,Minnesota Wild,Wild,Minnesota,16,,1997-06-25,http://www.wild.com/
52,WPG,Winnipeg Jets,Jets,Winnipeg,16,,2011-06-21,http://winnipegjets.com/
54,VGK,Vegas Golden Knights,Golden Knights,Vegas,15,,2016-06-22,http://www.vegasgoldenknights.com/
55,SEA,Seattle Kraken,Kraken,Seattle,15,,2021-04-30,https://www.nhl.com/seattle
68,UTA,Utah Hockey Club,Utah HC,Utah,16,,2024-04-18,https://www.nhl.com/utah
